time,apparent_temperature_max (°F),max_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),mean_temperature,date,pm25,city,pm25_lag_1,pm25_rolling_3,pm25_rolling_7
2022-09-02,102.1,100.2,50,17.7,0.0,84.1,2022-09-02,47.020833333333336,LA,32.770833333333336,24.865277777777777,26.709523809523805
2022-09-03,104.5,101.2,50,20.1,0.0,85.5,2022-09-03,78.425,LA,47.020833333333336,33.22361111111111,26.923214285714288
2022-09-04,112.3,109.5,41,24.8,0.0,91.2,2022-09-04,62.24166666666667,LA,78.425,52.73888888888889,34.114285714285714
2022-09-05,105.7,99.9,58,19.3,0.0,85.3,2022-09-05,49.19583333333333,LA,62.24166666666667,62.5625,40.37619047619047
2022-09-06,102.1,99.1,63,16.1,0.0,82.0,2022-09-06,67.41250000000001,LA,49.19583333333333,63.2875,44.4970238095238
2022-09-07,105.7,102.4,54,19.5,0.0,84.7,2022-09-07,71.95,LA,67.41250000000001,59.616666666666674,50.992261904761904
2022-09-08,103.0,101.1,49,16.9,0.0,86.7,2022-09-08,80.03333333333333,LA,71.95,62.85277777777778,58.43095238095238
2022-09-09,102.8,103.9,53,28.1,18.9,85.7,2022-09-09,42.825,LA,80.03333333333333,73.13194444444444,65.1827380952381
2022-09-10,86.2,80.6,84,12.8,2.8,75.7,2022-09-10,15.9375,LA,42.825,64.93611111111112,64.58333333333333
2022-09-11,93.0,84.4,84,17.4,5.9,76.3,2022-09-11,22.733333333333334,LA,15.9375,46.26527777777778,55.656547619047615
2022-09-12,87.0,81.5,85,17.2,3.0,75.0,2022-09-12,49.075,LA,22.733333333333334,27.165277777777778,50.0125
2022-09-13,87.7,82.0,81,13.9,0.3,73.8,2022-09-13,42.925,LA,49.075,29.248611111111114,49.99523809523809
2022-09-14,84.1,81.1,80,15.4,0.0,71.3,2022-09-14,35.416666666666664,LA,42.925,38.24444444444445,46.49702380952381
2022-09-15,84.2,80.8,78,16.3,0.1,70.7,2022-09-15,35.17916666666667,LA,35.416666666666664,42.47222222222222,41.27797619047619
2022-09-16,85.7,82.2,77,20.5,0.0,70.5,2022-09-16,44.208333333333336,LA,35.17916666666667,37.84027777777778,34.87023809523809
2022-09-17,83.5,82.1,75,17.5,0.0,70.4,2022-09-17,38.4125,LA,44.208333333333336,38.268055555555556,35.06785714285714
2022-09-18,77.0,77.1,69,16.3,0.1,69.8,2022-09-18,23.916666666666668,LA,38.4125,39.26666666666667,38.27857142857143
2022-09-19,82.2,81.1,71,22.1,0.0,69.9,2022-09-19,21.095833333333335,LA,23.916666666666668,35.5125,38.44761904761905
2022-09-20,83.6,81.7,66,20.6,0.0,72.1,2022-09-20,20.195833333333333,LA,21.095833333333335,27.808333333333337,34.45059523809524
2022-09-21,82.3,83.1,64,21.7,0.0,71.6,2022-09-21,23.891666666666666,LA,20.195833333333333,21.736111111111114,31.20357142857143
2022-09-22,88.0,88.6,54,19.7,0.0,73.0,2022-09-22,37.05416666666667,LA,23.891666666666666,21.727777777777778,29.557142857142857
2022-09-23,91.7,93.3,50,18.5,0.0,76.0,2022-09-23,48.22083333333333,LA,37.05416666666667,27.04722222222222,29.825
2022-09-24,89.0,92.6,58,20.4,0.0,76.9,2022-09-24,43.958333333333336,LA,48.22083333333333,36.388888888888886,30.398214285714285
