time,apparent_temperature_max (°F),max_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),mean_temperature,date,pm25,city,pm25_lag_1,pm25_rolling_3,pm25_rolling_7
2022-08-12,94.1,96.7,49,15.8,0.0,76.5,2022-08-12,5.25,Sacramento,4.358333333333333,3.8652777777777776,4.136904761904762
2022-08-13,99.1,100.3,46,15.6,0.0,78.1,2022-08-13,6.683333333333334,Sacramento,5.25,4.527777777777778,4.155357142857143
2022-08-14,99.9,102.7,44,14.8,0.0,79.9,2022-08-14,8.358333333333333,Sacramento,6.683333333333334,5.430555555555556,4.533333333333333
2022-08-15,103.9,104.7,39,15.6,0.0,83.5,2022-08-15,10.95,Sacramento,8.358333333333333,6.763888888888888,5.109523809523809
2022-08-16,106.9,109.2,30,9.4,0.0,87.6,2022-08-16,12.920833333333334,Sacramento,10.95,8.66388888888889,6.119642857142857
2022-08-17,105.7,107.2,31,14.8,0.0,87.1,2022-08-17,13.404166666666669,Sacramento,12.920833333333334,10.743055555555555,7.499404761904762
2022-08-18,102.6,104.8,40,16.8,0.0,82.9,2022-08-18,10.1,Sacramento,13.404166666666669,12.424999999999999,8.846428571428572
2022-08-19,103.1,104.2,46,15.4,0.0,80.6,2022-08-19,8.758333333333333,Sacramento,10.1,12.141666666666667,9.666666666666668
2022-08-20,105.6,107.0,45,15.6,0.0,82.6,2022-08-20,7.954166666666667,Sacramento,8.758333333333333,10.754166666666668,10.167857142857143
2022-08-21,89.1,94.2,50,19.2,0.0,75.2,2022-08-21,6.191666666666666,Sacramento,7.954166666666667,8.9375,10.349404761904761
2022-08-22,101.5,100.4,54,15.6,0.0,77.2,2022-08-22,5.895833333333333,Sacramento,6.191666666666666,7.634722222222222,10.039880952380953
2022-08-23,104.2,103.1,50,16.1,0.0,82.1,2022-08-23,6.391666666666667,Sacramento,5.895833333333333,6.6805555555555545,9.317857142857141
2022-08-24,96.6,99.9,47,15.7,0.0,80.2,2022-08-24,7.3875,Sacramento,6.391666666666667,6.159722222222222,8.385119047619048
2022-08-25,90.2,94.6,59,15.5,0.0,73.9,2022-08-25,6.233333333333333,Sacramento,7.3875,6.558333333333334,7.525595238095238
2022-08-26,96.3,97.4,56,15.2,0.0,75.1,2022-08-26,6.0125,Sacramento,6.233333333333333,6.670833333333333,6.973214285714286
2022-08-27,91.6,94.2,58,16.4,0.0,73.9,2022-08-27,7.391666666666667,Sacramento,6.0125,6.544444444444444,6.580952380952381
2022-08-28,91.1,93.2,58,17.7,0.0,72.6,2022-08-28,7.7375,Sacramento,7.391666666666667,6.545833333333333,6.500595238095237
2022-08-29,93.0,96.0,49,18.0,0.0,74.9,2022-08-29,9.733333333333333,Sacramento,7.7375,7.047222222222222,6.721428571428572
2022-08-30,96.6,97.8,47,16.1,0.0,77.2,2022-08-30,8.133333333333333,Sacramento,9.733333333333333,8.2875,7.269642857142857
2022-08-31,100.4,101.7,43,12.6,0.0,78.3,2022-08-31,6.75,Sacramento,8.133333333333333,8.534722222222221,7.518452380952381
2022-09-01,105.3,107.3,33,9.6,0.0,83.4,2022-09-01,9.4375,Sacramento,6.75,8.205555555555556,7.427380952380951
2022-09-02,102.6,106.4,30,15.0,0.0,84.1,2022-09-02,12.220833333333331,Sacramento,9.4375,8.106944444444444,7.885119047619047
2022-09-03,102.0,104.4,34,13.4,0.0,83.2,2022-09-03,4.941666666666666,Sacramento,12.220833333333331,9.469444444444443,8.77202380952381
2022-09-04,105.7,108.4,30,11.8,0.0,86.3,2022-09-04,7.4625,Sacramento,4.941666666666666,8.866666666666665,8.42202380952381
2022-09-05,110.3,116.5,20,16.1,0.0,93.1,2022-09-05,10.3375,Sacramento,7.4625,8.208333333333334,8.382738095238095
2022-09-06,115.3,117.3,19,17.0,0.0,95.2,2022-09-06,12.991666666666667,Sacramento,10.3375,7.580555555555556,8.469047619047618
2022-09-07,106.0,109.5,24,14.9,0.0,91.6,2022-09-07,11.454166666666666,Sacramento,12.991666666666667,10.26388888888889,9.163095238095238
2022-09-08,109.5,112.9,21,11.5,0.0,92.1,2022-09-08,14.841666666666669,Sacramento,11.454166666666666,11.594444444444443,9.835119047619047
2022-09-09,110.3,112.3,25,16.6,0.0,91.1,2022-09-09,17.370833333333334,Sacramento,14.841666666666669,13.095833333333333,10.607142857142858
2022-09-10,85.1,90.1,46,25.6,0.0,77.3,2022-09-10,12.2875,Sacramento,17.370833333333334,14.555555555555557,11.342857142857143
