time,apparent_temperature_max (°F),max_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),mean_temperature,date,pm25,city,pm25_lag_1,pm25_rolling_3,pm25_rolling_7
2022-08-18,104.7,96.2,77,17.6,40.6,83.8,2022-08-18,7.033333333333334,Houston,6.8374999999999995,8.990277777777779,9.507738095238095
2022-08-19,96.2,86.6,83,14.4,15.3,79.3,2022-08-19,7.520833333333333,Houston,7.033333333333334,7.348611111111111,9.1625
2022-08-20,96.3,86.2,87,17.1,11.4,79.3,2022-08-20,9.375,Houston,7.520833333333333,7.1305555555555555,8.925595238095237
2022-08-21,98.5,89.0,85,20.3,6.4,81.1,2022-08-21,8.841666666666667,Houston,9.375,7.976388888888889,9.17202380952381
2022-08-22,97.3,88.8,84,18.9,7.9,81.8,2022-08-22,8.716666666666667,Houston,8.841666666666667,8.579166666666666,8.53452380952381
2022-08-23,98.2,87.6,87,16.9,23.9,79.3,2022-08-23,7.079166666666667,Houston,8.716666666666667,8.977777777777778,8.071428571428571
2022-08-24,96.0,87.1,87,16.4,21.5,79.6,2022-08-24,6.845833333333334,Houston,7.079166666666667,8.2125,7.914880952380953
2022-08-25,99.5,88.0,85,16.9,4.2,79.8,2022-08-25,10.566666666666666,Houston,6.845833333333334,7.547222222222222,7.9160714285714295
2022-08-26,100.3,88.9,83,16.4,5.1,80.1,2022-08-26,13.429166666666667,Houston,10.566666666666666,8.16388888888889,8.420833333333333
2022-08-27,98.8,87.2,86,13.0,4.1,80.1,2022-08-27,8.4125,Houston,13.429166666666667,10.280555555555557,9.264880952380953
2022-08-28,97.9,89.0,80,20.6,0.6,82.0,2022-08-28,7.158333333333332,Houston,8.4125,10.802777777777777,9.127380952380953
2022-08-29,93.1,84.9,86,20.9,8.0,79.5,2022-08-29,6.708333333333333,Houston,7.158333333333332,9.666666666666666,8.886904761904763
2022-08-30,96.5,85.5,89,18.9,30.2,79.2,2022-08-30,8.254166666666666,Houston,6.708333333333333,7.426388888888888,8.6
2022-08-31,100.5,87.0,89,13.7,7.1,78.9,2022-08-31,9.85,Houston,8.254166666666666,7.37361111111111,8.767857142857142
2022-09-01,96.3,86.9,89,14.8,25.2,78.2,2022-09-01,11.8375,Houston,9.85,8.270833333333334,9.19702380952381
2022-09-02,103.0,88.1,90,16.5,8.8,78.2,2022-09-02,9.2125,Houston,11.8375,9.980555555555554,9.37857142857143
2022-09-03,93.7,83.2,92,11.8,24.0,76.9,2022-09-03,11.7375,Houston,9.2125,10.3,8.776190476190475
2022-09-04,90.2,81.5,89,11.4,0.4,77.0,2022-09-04,8.233333333333333,Houston,11.7375,10.929166666666667,9.251190476190475
2022-09-05,91.8,84.6,85,12.2,0.0,77.5,2022-09-05,9.245833333333334,Houston,8.233333333333333,9.72777777777778,9.404761904761903
2022-09-06,97.2,85.9,83,13.3,0.0,78.5,2022-09-06,9.9875,Houston,9.245833333333334,9.738888888888889,9.767261904761906
2022-09-07,100.0,88.2,83,14.9,1.1,78.8,2022-09-07,10.829166666666666,Houston,9.9875,9.155555555555557,10.014880952380953
2022-09-08,95.9,86.8,78,12.9,0.2,78.5,2022-09-08,17.716666666666665,Houston,10.829166666666666,10.020833333333334,10.154761904761903
2022-09-09,91.9,85.0,79,13.0,1.4,76.9,2022-09-09,16.133333333333333,Houston,17.716666666666665,12.844444444444443,10.994642857142859
2022-09-10,94.0,87.1,75,9.4,0.1,78.3,2022-09-10,15.391666666666666,Houston,16.133333333333333,14.893055555555554,11.983333333333333
2022-09-11,97.2,89.9,71,12.5,0.1,80.6,2022-09-11,15.05,Houston,15.391666666666666,16.413888888888888,12.505357142857141
2022-09-12,95.6,89.4,64,12.8,0.0,80.2,2022-09-12,14.295833333333334,Houston,15.05,15.525,13.479166666666666
2022-09-13,95.1,88.3,66,11.9,0.0,78.7,2022-09-13,17.916666666666668,Houston,14.295833333333334,14.9125,14.200595238095236
2022-09-14,89.9,86.6,70,17.4,0.0,77.3,2022-09-14,8.891666666666667,Houston,17.916666666666668,15.754166666666668,15.333333333333332
2022-09-15,92.4,87.9,69,23.6,1.0,78.3,2022-09-15,8.054166666666667,Houston,8.891666666666667,13.701388888888891,15.056547619047619
2022-09-16,96.2,87.2,84,16.5,2.3,78.6,2022-09-16,6.533333333333334,Houston,8.054166666666667,11.620833333333335,13.67619047619048
2022-09-17,97.6,90.2,78,15.2,2.1,81.2,2022-09-17,9.8375,Houston,6.533333333333334,7.826388888888889,12.304761904761905
2022-09-18,99.3,89.0,82,16.6,0.5,81.1,2022-09-18,8.104166666666666,Houston,9.8375,8.141666666666667,11.511309523809526
2022-09-19,100.7,90.7,80,16.3,0.0,81.2,2022-09-19,5.9875,Houston,8.104166666666666,8.158333333333333,10.51904761904762
2022-09-20,98.4,91.0,78,14.4,1.1,81.5,2022-09-20,7.6125,Houston,5.9875,7.976388888888889,9.332142857142857
2022-09-21,99.6,92.8,71,13.3,0.0,82.2,2022-09-21,10.9125,Houston,7.6125,7.234722222222222,7.860119047619048
2022-09-22,101.6,96.7,65,11.8,0.0,84.1,2022-09-22,13.016666666666666,Houston,10.9125,8.170833333333334,8.148809523809524
2022-09-23,101.8,95.4,65,18.7,0.0,84.0,2022-09-23,15.375,Houston,13.016666666666666,10.513888888888888,8.857738095238096
2022-09-24,99.6,94.0,74,15.9,0.0,82.3,2022-09-24,11.65,Houston,15.375,13.10138888888889,10.120833333333334
2022-09-25,100.2,94.1,69,16.2,0.0,83.4,2022-09-25,10.120833333333334,Houston,11.65,13.347222222222223,10.379761904761905
2022-09-26,98.0,93.3,58,19.5,0.0,83.0,2022-09-26,10.554166666666667,Houston,10.120833333333334,12.381944444444445,10.667857142857143
2022-09-27,85.7,87.4,39,14.8,0.0,76.3,2022-09-27,8.775,Houston,10.554166666666667,10.775,11.320238095238095
2022-09-28,85.8,86.3,41,15.2,0.0,75.3,2022-09-28,8.908333333333333,Houston,8.775,9.816666666666668,11.486309523809524
2022-09-29,82.3,84.6,42,14.5,0.0,73.3,2022-09-29,10.295833333333333,Houston,8.908333333333333,9.4125,11.200000000000001
2022-09-30,81.2,82.4,45,18.4,0.0,70.2,2022-09-30,7.425,Houston,10.295833333333333,9.326388888888891,10.811309523809525
2022-10-01,82.5,82.7,49,11.2,0.0,70.1,2022-10-01,9.525,Houston,7.425,8.876388888888888,9.675595238095239
2022-10-02,83.1,84.0,49,10.0,0.0,71.3,2022-10-02,14.454166666666666,Houston,9.525,9.081944444444444,9.37202380952381
2022-10-03,85.8,85.7,46,9.7,0.0,73.4,2022-10-03,12.15,Houston,14.454166666666666,10.468055555555557,9.991071428571429
2022-10-04,85.2,84.5,50,11.4,0.0,74.4,2022-10-04,12.604166666666666,Houston,12.15,12.043055555555556,10.219047619047618
2022-10-05,87.3,85.6,65,16.5,0.0,74.1,2022-10-05,13.870833333333332,Houston,12.604166666666666,13.069444444444445,10.766071428571427
2022-10-06,89.1,88.3,62,10.8,0.0,75.9,2022-10-06,15.1125,Houston,13.870833333333332,12.875,11.475
2022-10-07,87.4,87.4,62,10.2,0.0,76.2,2022-10-07,18.4375,Houston,15.1125,13.862500000000002,12.163095238095238
2022-10-08,87.2,87.4,50,16.6,0.0,77.3,2022-10-08,15.208333333333334,Houston,18.4375,15.806944444444445,13.736309523809524
2022-10-09,86.7,85.7,53,17.8,0.0,75.5,2022-10-09,11.191666666666668,Houston,15.208333333333334,16.25277777777778,14.548214285714284
2022-10-10,83.0,84.6,62,20.5,0.0,74.2,2022-10-10,11.966666666666669,Houston,11.191666666666668,14.945833333333335,14.082142857142857
2022-10-11,83.9,84.6,70,18.4,0.4,74.7,2022-10-11,11.1375,Houston,11.966666666666669,12.788888888888891,14.055952380952382
2022-10-12,95.0,90.2,76,19.5,0.1,78.9,2022-10-12,7.195833333333333,Houston,11.1375,11.431944444444445,13.846428571428573
2022-10-13,93.5,84.4,83,22.5,25.4,76.4,2022-10-13,7.470833333333334,Houston,7.195833333333333,10.100000000000001,12.892857142857142
2022-10-14,82.8,84.2,67,18.4,0.0,74.4,2022-10-14,11.733333333333334,Houston,7.470833333333334,8.60138888888889,11.801190476190476
