date,City,pm25,AQI,Air_Quality_Risk
2022-10-24,Phoenix,4.383333333333334,18.263888888888893,11.650212636402848
2022-10-25,Phoenix,16.6375,60.542381974248926,42.72477761003833
2022-10-26,Phoenix,26.958333333333332,82.24713876967095,58.67770842794982
2022-10-27,Phoenix,17.616666666666667,62.60157367668098,44.23827730410745
2022-10-28,Phoenix,8.225,34.270833333333336,23.415268551806378
2022-10-29,Phoenix,13.329166666666666,53.584942775393415,37.611080771353734
2022-10-30,Phoenix,18.991666666666667,65.49320457796853,46.363617300034285
2022-10-31,Phoenix,12.279166666666669,51.37678826895566,35.988093865373244
2022-11-01,Phoenix,17.683333333333334,62.74177396280401,44.34132409178875
2022-11-02,Phoenix,11.408333333333331,47.534722222222214,33.164186902531206
2022-11-03,Phoenix,5.916666666666667,24.652777777777782,16.346026711097533
2022-11-04,Phoenix,11.729166666666666,48.87152777777778,34.14673495620374
2022-11-05,Phoenix,24.641666666666666,77.37517882689556,55.09683255602459
2022-11-06,Phoenix,21.6375,71.0574034334764,50.45328668613595
2022-11-07,Phoenix,20.066666666666663,67.75393419170243,48.02524675139527
2022-11-08,Phoenix,18.308333333333337,64.05615164520745,45.30738772630096
2022-11-09,Phoenix,6.075,25.312500000000004,16.83092055576709
2022-11-10,Phoenix,10.945833333333333,45.60763888888889,31.747786461522765
2022-11-11,Phoenix,9.75,40.625,28.085561897834243
2022-11-12,Phoenix,12.383333333333333,51.595851216022886,36.14910447112527
2022-11-13,Phoenix,21.170833333333334,70.07600143061518,49.73195917236684
2022-11-14,Phoenix,13.4875,53.917918454935624,37.85581689209683
2022-11-15,Phoenix,15.2625,57.65075107296137,40.59943761411148
2022-11-16,Phoenix,3.529166666666667,14.704861111111112,9.034337948053906
2022-11-17,Phoenix,9.629166666666666,40.12152777777778,27.71551133216537
2022-11-18,Phoenix,19.283333333333335,66.10658082975681,46.81444699613999
2022-11-19,Phoenix,10.766666666666666,44.86111111111111,31.19909079518615
2022-11-20,Phoenix,12.716666666666669,52.29685264663806,36.66433840953178
2022-11-21,Phoenix,15.770833333333334,58.719778254649505,41.385169370181416
2022-11-22,Phoenix,17.5,62.35622317596567,44.05794542566517
2022-11-23,Phoenix,19.154166666666665,65.83494277539342,46.614793845007455
2022-11-24,Phoenix,8.9625,37.34375000000001,25.67385303881986
2022-11-25,Phoenix,7.804166666666667,32.517361111111114,22.126471754132023
2022-11-26,Phoenix,21.708333333333332,71.20636623748211,50.56277389804732
2022-11-27,Phoenix,29.558333333333337,87.71494992846925,62.69653314752058
2022-11-28,Phoenix,23.35,74.6587982832618,53.10030104469937
2022-11-29,Phoenix,18.55,64.56437768240343,45.680932331645664
2022-11-30,Phoenix,21.325,70.40021459227468,49.97025486887984
2022-12-01,Phoenix,22.82083333333333,73.54595851216023,52.28236716747904
2022-12-02,Phoenix,27.97083333333333,84.37643061516452,60.242731515859596
2022-12-03,Phoenix,21.195833333333333,70.1285765379113,49.77060171774732
2022-12-04,Phoenix,20.758333333333333,69.2085121602289,49.09435717358878
2022-12-05,Phoenix,21.683333333333337,71.153791130186,50.52413135266684
2022-12-06,Phoenix,35.074999999999996,99.31652360515021,71.22365482814827
2022-12-07,Phoenix,36.35,103.0929648241206,73.99932774040366
2022-12-08,Phoenix,27.03333333333333,82.40486409155938,58.793636064091295
2022-12-09,Phoenix,34.05833333333333,97.17846924177397,69.65219131600844
2022-12-10,Phoenix,41.00416666666667,114.55297319933,82.42239935118359
2022-12-11,Phoenix,28.304166666666664,85.07743204577969,60.75796545426609
2022-12-12,Phoenix,9.245833333333334,38.52430555555556,26.5415578134917
2022-12-13,Phoenix,2.183333333333333,9.097222222222221,4.912740268362644
2022-12-14,Phoenix,0.5791666666666667,2.4131944444444446,0.0
2022-12-15,Phoenix,15.108333333333334,57.32653791130186,40.361141917598474
2022-12-16,Phoenix,19.45,66.45708154506438,47.07206396534324
2022-12-17,Phoenix,17.45,62.251072961373396,43.980660334904194
2022-12-18,Phoenix,26.120833333333337,80.48587267525036,57.38318315770348
2022-12-19,Phoenix,45.97083333333333,126.7824539363484,91.411030828399
2022-12-20,Phoenix,32.90833333333333,94.76001430615165,67.87463422850598
2022-12-21,Phoenix,31.4,91.58798283261802,65.54320065721654
2022-12-22,Phoenix,43.48333333333333,120.65745393634839,86.90917429157214
2022-12-23,Phoenix,50.71666666666667,138.4681742043551,100.0
2022-12-24,Phoenix,34.27916666666667,97.64288268955652,69.99353380020274
2022-12-25,Phoenix,15.795833333333334,58.77235336194564,41.4238119155619
2022-12-26,Phoenix,20.891666666666666,69.48891273247497,49.300450748951384
2022-12-27,Phoenix,25.6375,79.46942060085837,56.63609394701403
2022-12-28,Phoenix,22.40833333333333,72.67846924177397,51.64476516870099
2022-12-29,Phoenix,15.533333333333331,58.22031473533619,41.01806518906677
2022-12-30,Phoenix,18.341666666666665,64.12625178826896,45.3589111201416
2022-12-31,Phoenix,17.7375,62.855686695278976,44.42504960677981
2023-01-01,Phoenix,8.862499999999999,36.92708333333333,25.367604294818026
2023-01-02,Phoenix,9.833333333333334,40.97222222222223,28.340769184502435
2023-01-03,Phoenix,14.991666666666667,57.08118741058655,40.18081003915619
2023-01-04,Phoenix,17.275000000000002,61.88304721030043,43.710162517240775
2023-01-05,Phoenix,21.5625,70.89967811158799,50.337359049994475
2023-01-06,Phoenix,39.17916666666667,110.05925460636516,79.11952973120005
2023-01-07,Phoenix,20.2375,68.1131974248927,48.28930414482861
2023-01-08,Phoenix,25.741666666666664,79.68848354792561,56.79710455276607
2023-01-09,Phoenix,37.19583333333333,105.17567001675042,75.53010977888918
2023-01-10,Phoenix,27.7625,83.93830472103005,59.92071030435553
2023-01-11,Phoenix,17.941666666666666,63.28505007153076,44.740630394053795
2023-01-12,Phoenix,17.025000000000002,61.35729613733906,43.3237370634359
2023-01-13,Phoenix,14.054166666666667,55.1096208869814,38.73171458738789
2023-01-14,Phoenix,23.8875,75.78916309012877,53.931115770379876
2023-01-15,Phoenix,15.108333333333334,57.32653791130186,40.361141917598474
2023-01-16,Phoenix,7.7,32.083333333333336,21.807462645796786
2023-01-17,Phoenix,6.1375,25.572916666666668,17.02232602076823
2023-01-18,Phoenix,17.787499999999998,62.96083690987124,44.502334697540775
2023-01-19,Phoenix,25.25,78.65450643776825,56.03713449361647
2023-01-20,Phoenix,27.383333333333336,83.1409155937053,59.334631699418125
2023-01-21,Phoenix,18.6875,64.8535407725322,45.89346633123836
2023-01-22,Phoenix,24.09583333333333,76.22728898426323,54.253136981883934
2023-01-23,Phoenix,16.779166666666665,60.84030758226037,42.943752033861095
2023-01-24,Phoenix,24.733333333333334,77.56795422031475,55.23852188908639
2023-01-25,Phoenix,22.620833333333337,73.12535765379114,51.97322680443514
2023-01-26,Phoenix,11.808333333333332,49.201388888888886,34.389181878538515
2023-01-27,Phoenix,20.895833333333332,69.49767525035766,49.30689117318147
2023-01-28,Phoenix,25.379166666666663,78.92614449213161,56.236787644748986
2023-01-29,Phoenix,17.391666666666666,62.12839771101574,43.89049439568305
2023-01-30,Phoenix,10.429166666666664,43.4548611111111,30.165501284179978
2023-01-31,Phoenix,15.458333333333334,58.06258941344778,40.9021375529253
2023-02-01,Phoenix,16.604166666666668,60.472281831187416,42.673254216197684
2023-02-02,Phoenix,17.066666666666666,61.44492131616595,43.3881413057367
2023-02-03,Phoenix,14.754166666666668,56.58172389127325,39.81370585804156
2023-02-04,Phoenix,19.041666666666668,65.59835479256081,46.44090239079527
2023-02-05,Phoenix,19.491666666666667,66.54470672389128,47.13646820764406
2023-02-06,Phoenix,14.025,55.04828326180258,38.68663161777733
2023-02-07,Phoenix,9.566666666666666,39.861111111111114,27.524105867164227
2023-02-08,Phoenix,16.016666666666666,59.23676680972818,41.765154399756206
2023-02-09,Phoenix,12.2,51.21030042918455,35.865725805001695
2023-02-10,Phoenix,6.4750000000000005,26.97916666666667,18.055915531774403
2023-02-11,Phoenix,11.2,46.666666666666664,32.52616868586073
2023-02-12,Phoenix,10.4,43.333333333333336,30.07617873384612
2023-02-13,Phoenix,10.016666666666667,41.736111111111114,28.90222521517245
2023-02-14,Phoenix,7.475,31.145833333333336,21.118402971792673
2023-02-15,Phoenix,11.429166666666667,47.621527777777786,33.22798872419826
2023-02-16,Phoenix,13.879166666666668,54.74159513590845,38.46121676972448
2023-02-17,Phoenix,16.708333333333332,60.691344778254646,42.83426482194971
2023-02-18,Phoenix,14.308333333333332,55.64413447782546,39.12458046542285
2023-02-19,Phoenix,15.95,59.09656652360515,41.662107612074905
2023-02-20,Phoenix,16.7375,60.75268240343348,42.879347791560285
2023-02-21,Phoenix,14.35,55.73175965665236,39.18898470772367
2023-02-22,Phoenix,5.583333333333333,23.26388888888889,15.325197564424773
2023-02-23,Phoenix,10.145833333333334,42.274305555555564,29.29779650950815
2023-02-24,Phoenix,9.991666666666667,41.63194444444445,28.825663029171995
2023-02-25,Phoenix,10.8625,45.26041666666667,31.492579174854573
2023-02-26,Phoenix,6.7250000000000005,28.02083333333334,18.82153739177897
2023-02-27,Phoenix,17.925,63.25,44.71486869713346
2023-02-28,Phoenix,20.979166666666668,69.67292560801145,49.4356996577831
2023-03-01,Phoenix,9.85,41.04166666666667,28.391810641836074
2023-03-02,Phoenix,10.616666666666667,44.236111111111114,30.739717679183414
2023-03-03,Phoenix,20.525,68.71781115879828,48.73369341670422
2023-03-04,Phoenix,20.4125,68.48122317596567,48.559801962492024
2023-03-05,Phoenix,19.2,65.93133047210301,46.685638511538365
2023-03-06,Phoenix,27.325,83.01824034334764,59.24446576019699
2023-03-07,Phoenix,28.1125,84.67435622317598,60.46170593968236
2023-03-08,Phoenix,24.35,76.76180257510731,54.64600285991891
2023-03-09,Phoenix,25.395833333333332,78.96119456366237,56.26254934166932
2023-03-10,Phoenix,22.625,73.13412017167383,51.97966722866523
2023-03-11,Phoenix,11.316666666666668,47.152777777777786,32.88345888719621
2023-03-12,Phoenix,10.583333333333334,44.09722222222223,30.637634764516143
2023-03-13,Phoenix,13.3375,53.6024678111588,37.623961619813905
2023-03-14,Phoenix,14.245833333333332,55.51269670958512,39.02797410197164
2023-03-15,Phoenix,15.354166666666666,57.843526466380546,40.74112694717327
2023-03-16,Phoenix,11.995833333333332,49.982638888888886,34.96339827354195
2023-03-17,Phoenix,17.358333333333334,62.05829756795423,43.8389710018424
2023-03-18,Phoenix,11.895833333333334,49.56597222222223,34.65714952954013
2023-03-19,Phoenix,16.141666666666666,59.49964234620887,41.95836712665865
2023-03-20,Phoenix,16.1375,59.49087982832618,41.951926702428565
2023-03-21,Phoenix,8.3125,34.63541666666667,23.68323620280798
2023-03-22,Phoenix,7.179166666666667,29.91319444444445,20.212417104120604
2023-03-23,Phoenix,16.345833333333335,59.929005722460666,42.273947913932645
2023-03-24,Phoenix,12.1625,51.131437768240346,35.80776198693096
2023-03-25,Phoenix,16.741666666666667,60.76144492131617,42.88578821579036
2023-03-26,Phoenix,15.275,57.677038626609445,40.61875888680173
2023-03-27,Phoenix,10.604166666666666,44.18402777777778,30.701436586183185
2023-03-28,Phoenix,12.020833333333334,50.8335121602289,35.5887875631082
2023-03-29,Phoenix,15.691666666666668,58.553290414878404,41.262801309809866
2023-03-30,Phoenix,4.745833333333334,19.774305555555557,12.760364333409472
2023-03-31,Phoenix,13.445833333333333,53.830293276108726,37.791412649796015
2023-04-01,Phoenix,11.741666666666667,48.923611111111114,34.18501604920397
2023-04-02,Phoenix,12.245833333333332,51.306688125894134,35.93657047153258
2023-04-03,Phoenix,11.333333333333334,47.22222222222223,32.934500344529845
2023-04-04,Phoenix,5.6625000000000005,23.593750000000004,15.567644486759555
2023-04-05,Phoenix,11.891666666666666,49.54861111111111,34.644389165206704
2023-04-06,Phoenix,11.1,46.25,32.21991994185891
2023-04-07,Phoenix,18.033333333333335,63.47782546494993,44.88231972711558
2023-04-08,Phoenix,16.912499999999998,61.12070815450643,43.14984560922369
2023-04-09,Phoenix,14.2125,55.442596566523605,38.97645070813098
2023-04-10,Phoenix,8.758333333333333,36.49305555555556,25.048595186482792
2023-04-11,Phoenix,9.4,39.16666666666667,27.01369129382785
2023-04-12,Phoenix,9.208333333333334,38.368055555555564,26.42671453449102
2023-04-13,Phoenix,8.216666666666667,34.236111111111114,23.38974782313956
2023-04-14,Phoenix,6.395833333333333,26.649305555555557,17.813468609439624
2023-04-15,Phoenix,13.091666666666669,53.08547925608012,37.24397659023911
2023-04-16,Phoenix,12.4,51.63090128755365,36.1748661680456
2023-04-17,Phoenix,13.545833333333334,54.040593705293276,37.94598283131797
2023-04-18,Phoenix,8.6625,36.09375,24.75510680681437
2023-04-19,Phoenix,8.458333333333334,35.24305555555556,24.12984895447731
2023-04-20,Phoenix,11.575,48.229166666666664,33.67460147586759
2023-04-21,Phoenix,7.125,29.687500000000004,20.046532367786277
2023-04-22,Phoenix,10.225,42.60416666666667,29.540243431842928
2023-04-23,Phoenix,7.904166666666666,32.93402777777778,22.432720498133847
2023-04-24,Phoenix,8.075000000000001,33.64583333333334,22.955895435803644
2023-04-25,Phoenix,8.829166666666667,36.78819444444445,25.26552138015075
2023-04-26,Phoenix,7.85,32.708333333333336,22.266835761799527
2023-04-27,Phoenix,10.9,45.41666666666667,31.60742245385526
2023-04-28,Phoenix,10.354166666666666,43.142361111111114,29.935814726178616
2023-04-29,Phoenix,7.758333333333333,32.326388888888886,21.986107746464516
2023-04-30,Phoenix,13.229166666666666,53.37464234620887,37.45651058983179
2023-05-01,Phoenix,8.066666666666666,33.611111111111114,22.93037470713682
2023-05-02,Phoenix,7.416666666666667,30.902777777777782,20.939757871124943
2023-05-03,Phoenix,8.520833333333334,35.50347222222223,24.321254419478457
2023-05-04,Phoenix,5.325,22.187500000000004,14.534054975753385
2023-05-05,Phoenix,8.245833333333334,34.35763888888889,23.479070373473427
2023-05-06,Phoenix,9.733333333333333,40.55555555555556,28.034520440500604
2023-05-07,Phoenix,9.991666666666667,41.63194444444445,28.825663029171995
2023-05-08,Phoenix,12.2375,51.28916309012876,35.92368962307243
2023-05-09,Phoenix,10.620833333333334,44.25347222222223,30.752478043516827
2023-05-10,Phoenix,6.3875,26.614583333333336,17.787947880772805
2023-05-11,Phoenix,15.6125,58.386802575107296,41.14043324943832
